input_class	source_disposition	denominator_disposition	reason	reactivation_condition
auto-minus-one	first-probed-family-default	excluded-from-comparable-trial-input	The shared module value changes from minus one to the first probed Radeon family default, so auto carries a probe-order confounder.	Use an explicit module-load gartsize value for each comparable trial.
below-32MiB	fallback-to-first-probed-family-default	excluded-not-a-distinct-rs482-selector	Argument validation replaces every value below 32 MiB with the first probed family default.	None; use an admitted explicit selector.
non-power-of-two-at-or-above-32MiB	fallback-to-first-probed-family-default	excluded-not-a-distinct-rs482-selector	Argument validation replaces every non-power-of-two value at or above 32 MiB with the first probed family default.	None; use an admitted explicit selector.
32MiB	supported	excluded-below-requested-frontier	Linux supports the encoding, but the requested optimization denominator begins at 128 MiB.	Create a separately justified low-memory denominator.
64MiB	supported	excluded-below-requested-frontier	Linux supports the encoding, but the requested optimization denominator begins at 128 MiB.	Create a separately justified low-memory denominator.
2048MiB	supported	excluded-outside-address-evidence	Linux supports the encoding, but the requested denominator stops at 1024 MiB and no retained Vostro event proves the 2 GiB topology.	Admit exact address-fit, boot, allocation, and stability evidence before adding it.
power-of-two-above-2048MiB	accepted-by-generic-check-then-forced-to-32MiB	excluded-not-a-distinct-rs482-selector	Generic argument validation accepts the request, but RS400 selector normalization forces 32 MiB before address placement.	None; use an admitted RS400 selector.
post-probe-gartsize-write	changes-shared-request-only	excluded-no-live-reconfiguration	The writable module parameter changes after initialization without rerunning RS400 placement, metadata allocation, or register programming.	Reload the module with the explicit value under the reboot-gated trial contract.
vramlimit-below-firmware-carveout	testing-only	excluded-not-memory-reclamation	The limit reduces driver-visible VRAM after firmware establishes the physical interval.	Only a firmware-owned UMA allocation mechanism can change the system DRAM carveout.
raw-radeon-vram-gtt-debugfs	source-exposes-raw-readers	excluded-from-capacity-capture	The VRAM reader writes an MMIO index selector before reading payload data, while the GTT reader copies host backing pages; their bounds do not establish the visible-VRAM, parked, suspended, and lifetime contract required by an allocator-only capture.	Add explicit parked, suspended, lifetime, visible-range, and byte-budget gates before a separate payload-reader experiment.
